,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,Unemployment_rate_2016,Med_HH_Income_Percent_of_State_Total_2015,GEO.display-label,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,2010_2010_CHANGE_IN_FAM_WITH_KIDS
1,50,3,6,1,1,Alabama,"Autauga County, Alabama",5.3,126.2,"Autauga County, Alabama",55416,0.026241004,0.012312301,0.011386603,51281,89.9,9.3,30.4,23.2,1180,883,25.7,23.1,-0.101167315
2,50,3,6,1,3,Alabama,"Baldwin County, Alabama",5.4,116.8,"Baldwin County, Alabama",208563,19.46149293,0.138450537,0.01090318,50254,87,9.6,24.2,29,1316,879,20.9,17.8,-0.148325359
3,50,3,6,1,5,Alabama,"Barbour County, Alabama",8.6,70.1,"Barbour County, Alabama",25965,-7.845474498,-0.050570426,0.009743886,32964,84.5,19.5,25.7,12.5,916,579,16,13.5,-0.15625
4,50,3,6,1,7,Alabama,"Bibb County, Alabama",6.6,90.9,"Bibb County, Alabama",22643,-1.863208106,-0.009535891,0.01174756,38678,90.3,12.8,27.2,10.6,1030,651,21.7,19.1,-0.119815668
5,50,3,6,1,9,Alabama,"Blount County, Alabama",5.5,112.6,"Blount County, Alabama",57704,-0.617283809,0.005716676,0.011489671,45813,88.4,12.3,29.8,12.9,1075,601,23.4,22.5,-0.038461538
6,50,3,6,1,11,Alabama,"Bullock County, Alabama",7.2,63.0,"Bullock County, Alabama",10362,-9.648461895,-0.048659567,0.011001737,31938,81.9,22.7,22.6,13.9,1006,570,12.2,8.4,-0.31147541
7,50,3,6,1,13,Alabama,"Butler County, Alabama",7.1,75.5,"Butler County, Alabama",19998,-6.706172302,-0.04489445,0.01180118,32229,87.7,20.5,25.1,14.5,944,575,13.7,12.5,-0.087591241
8,50,3,6,1,15,Alabama,"Calhoun County, Alabama",6.7,93.9,"Calhoun County, Alabama",114611,-4.648741477,-0.032557315,0.01079303,41703,88.1,16.5,25.6,17.6,1031,637,16.6,15.8,-0.048192771
9,50,3,6,1,17,Alabama,"Chambers County, Alabama",5.5,79.3,"Chambers County, Alabama",33843,0.105470671,-0.007565761,0.012380699,34177,86.1,17.2,21.5,11.6,877,658,15.5,10.4,-0.329032258
10,50,3,6,1,19,Alabama,"Cherokee County, Alabama",5.2,87.3,"Cherokee County, Alabama",25725,2.458182547,-0.009700889,0.00808552,36296,90.1,15.1,25.3,13.8,1102,621,21.8,17,-0.220183486
11,50,3,6,1,21,Alabama,"Chilton County, Alabama",5.6,95.4,"Chilton County, Alabama",43941,-0.720191605,0.006090441,0.012289206,41627,84,14.9,28.9,14.1,990,661,22.9,21,-0.082969432
