combined_crime,combined_counties,name,pop,crimes,violent
11,11,Autauga,57161,825,220
13,13,Baldwin,187467,2195,586
15,15,Barbour,27228,424,113
17,17,Bibb,22907,241,64
19,19,Blount,57909,254,68
111,111,Bullock,10584,90,24
113,113,Butler,20741,240,64
115,115,Calhoun,122213,1536,410
117,117,Chambers,34075,441,118
119,119,Cherokee,26141,149,40
121,121,Chilton,43975,327,87
123,123,Choctaw,13664,59,16
125,125,Clarke,25798,264,71
127,127,Clay,13918,103,28
129,129,Cleburne,14895,90,24
131,131,Coffee,51153,761,203
133,133,Colbert,54731,783,209
135,135,Conecuh,13150,112,30
137,137,Coosa,10756,43,11
139,139,Covington,38211,457,122
141,141,Crenshaw,13967,96,26
143,143,Cullman,80832,416,111
145,145,Dale,48935,664,177
147,147,Dallas,43506,480,128
149,149,De Kalb,71683,753,201
151,151,Elmore,80528,667,178
153,153,Escambia,38248,454,121
155,155,Etowah,103809,1700,454
157,157,Fayette,16480,134,36
159,159,Franklin,32012,339,91
161,161,Geneva,26882,257,69
163,163,Greene,8957,83,22
165,165,Hale,16218,113,30
167,167,Henry,17477,182,49
169,169,Houston,103678,1784,476
171,171,Jackson,53505,546,146
173,173,Jefferson,686887,7632,2037
175,175,Lamar,14368,114,31
177,177,Lauderdale,93154,1009,269
179,179,Lawrence,34254,148,39
181,181,Lee,139698,1910,510
183,183,Limestone,80471,557,149
185,185,Lowndes,11192,96,26
187,187,Macon,21344,261,70
189,189,Madison,346631,1155,308
191,191,Marengo,20775,240,64
193,193,Marion,31509,407,109
195,195,Marshall,95677,1148,307
197,197,Mobile,414233,1392,372
199,199,Monroe,22851,204,55
1101,1101,Montgomery,232964,0,0
1103,1103,Morgan,120522,1801,481
1105,1105,Perry,10415,125,33
1107,1107,Pickens,19427,174,46
1109,1109,Pike,33047,470,126
1111,1111,Randolph,22878,178,47
1113,1113,Russell,59060,804,215
1115,1115,St Clair,82424,1126,301
1117,1117,Shelby,175808,2205,589
1119,1119,Sumter,13532,150,40
1121,1121,Talladega,77856,956,255
1123,1123,Tallapoosa,40074,490,131
1125,1125,Tuscaloosa,197218,2817,752
1127,1127,Walker,66945,587,157
1129,1129,Washington,17414,48,13
1131,1131,Wilcox,11528,69,18
1133,1133,Winston,24473,163,44
213,213,Aleutians East,1002,70,11
216,216,Aleutians West,4385,184,21
220,220,Anchorage,299143,18500,3447
250,250,Bethel,6294,636,86
260,260,Bristol Bay,1042,65,2
270,270,Dillingham,3268,225,29
290,290,Fairbanks North Star,34603,2136,377
2100,2100,Haines,2585,71,6
2110,2110,Juneau,32553,1417,289
2122,2122,Kenai Peninsula,19754,1536,293
2130,2130,Ketchikan Gateway,8217,610,96
2150,2150,Kodiak Island,6332,703,87
2164,2164,Lake and Peninsula,0,0,0
2170,2170,Matanuska Susitna,14386,1624,233
2180,2180,Nome,3776,529,31
2185,2185,North Slope,9618,739,131
2188,2188,Northwest Arctic,3334,509,81
2201,2201,Prince Wales Ketchikan,2043,139,18
2220,2220,Sitka,9060,378,29
2232,2232,Skagway Hoonah Angoon,1702,61,9
2240,2240,Southeast Fairbanks,0,0,0
2261,2261,Valdez Cordova,6604,363,40
2270,2270,Wade Hampton,0,0,0
2280,2280,Wrangell Petersburg,5982,235,37
2282,2282,Yakutat,0,0,0
2290,2290,Yukon Koyukuk,0,0,0
41,41,Apache,73191,862,141
43,43,Cochise,134744,5692,1286
45,45,Coconino,133104,11413,1538
47,47,Gila,53724,2929,323
49,49,Graham,37552,1467,229
411,411,Greenlee,8700,429,59
412,412,La Paz,20642,1141,145
413,413,Maricopa,3922299,159723,31234
415,415,Mohave,204559,14024,2041
417,417,Navajo,108570,5968,1197
419,419,Pima,1000369,49794,7760
421,421,Pinal,387474,12611,2154
423,423,Santa Cruz,48196,2362,336
425,425,Yavapai,217069,8971,1419
427,427,Yuma,203062,7038,1205
51,51,Arkansas,18964,411,54
53,53,Ashley,21774,510,151
55,55,Baxter,41694,1846,214
57,57,Benton,222170,9920,1393
59,59,Boone,37192,2685,259
511,511,Bradley,11526,87,44
513,513,Calhoun,5164,42,13
515,515,Carroll,27616,988,78
517,517,Chicot,11765,202,40
519,519,Clark,22945,478,97
521,521,Clay,15940,337,108
523,523,Cleburne,25846,621,113
525,525,Cleveland,8705,32,9
527,527,Columbia,24494,878,96
529,529,Conway,21351,1207,88
531,531,Craighead,98688,9430,1168
533,533,Crawford,62179,3509,430
535,535,Crittenden,50717,4648,995
537,537,Cross,17848,261,39
539,539,Dallas,8103,490,60
541,541,Desha,12811,429,71
543,543,Drew,18537,708,180
545,545,Faulkner,116754,4505,777
547,547,Franklin,18116,765,101
549,549,Fulton,11380,415,39
551,551,Garland,97493,7105,1242
553,553,Grant,18056,289,48
555,555,Greene,42882,2246,539
557,557,Hempstead,22627,1257,259
559,559,Hot Spring,33006,772,86
561,561,Howard,13939,732,131
563,563,Independence,36838,812,273
565,565,Izard,13495,116,20
567,567,Jackson,17934,727,114
569,569,Jefferson,76535,5998,727
571,571,Johnson,25840,813,127
573,573,Lafayette,7545,167,16
575,575,Lawrence,17243,178,53
577,577,Lee,10365,31,9
579,579,Lincoln,14059,115,15
581,581,Little River,13045,71,19
583,583,Logan,22375,175,25
585,585,Lonoke,69604,1608,367
587,587,Madison,15836,557,93
589,589,Marion,16636,409,63
591,591,Miller,43925,3262,776
593,593,Mississippi,46140,2301,490
595,595,Monroe,8106,34,12
597,599,Nevada,9428,2,0
5101,5101,Newton,8295,0,0
5103,5103,Ouachita,25978,465,182
5105,5105,Perry,10444,37,2
5107,5107,Phillips,21523,1649,237
5109,5109,Pike,11343,428,35
5111,5111,Poinsett,24607,1342,125
5113,5113,Polk,20688,690,160
5115,5115,Pope,62568,1388,300
5117,5117,Prairie,8651,20,8
5119,5119,Pulaski,387762,32403,4309
5121,5121,Randolph,18085,148,21
5123,5123,St Francis,28076,1666,219
5125,5125,Saline,109942,2532,505
5127,5127,Scott,11315,422,54
5129,5129,Searcy,8067,49,6
5131,5131,Sebastian,127610,9733,1288
5133,5133,Sevier,17359,563,70
5135,5135,Sharp,18547,467,52
5137,5137,Stone,12651,263,38
5139,5139,Union,41584,1162,324
5141,5141,Van Buren,17331,50,10
5143,5143,Washington,214559,11773,1595
5145,5145,White,78464,2190,240
5147,5147,Woodruff,7256,94,13
5149,5149,Yell,22144,618,92
61,61,Alameda,1544062,43270,8795
63,63,Alpine,1112,81,13
65,65,Amador,38305,1135,150
67,67,Butte,222309,10957,1701
69,69,Calaveras,45470,1631,268
611,611,Colusa,21749,1177,126
613,613,Contra Costa,1075982,27033,6110
615,615,Del Norte,28925,1554,275
617,617,El Dorado,182616,5864,982
619,619,Fresno,951648,46666,8574
621,621,Glenn,28389,1386,220
623,623,Humboldt,136011,9218,1141
625,625,Imperial,178699,8146,1555
627,627,Inyo,18649,750,128
629,629,Kern,859608,40532,7770
631,631,Kings,155191,9357,1361
633,633,Lake,64919,3878,668
635,635,Lassen,34517,1335,203
637,637,Los Angeles,9980757,326586,67640
639,639,Madera,154343,4861,876
641,641,Marin,257396,7354,1198
643,643,Mariposa,18360,745,100
645,645,Mendocino,88365,5339,780
647,647,Merced,262308,10429,2382
649,649,Modoc,9605,670,110
651,651,Mono,14442,446,66
653,653,Monterey,425810,13663,3124
655,655,Napa,139368,4781,905
657,657,Nevada,99526,3093,469
659,659,Orange,3084081,82770,14532
661,661,Placer,360450,9398,2040
663,663,Plumas,19948,983,153
665,665,Riverside,2260388,58635,13663
667,667,Sacramento,1449422,42701,11041
669,669,San Benito,56592,1447,295
671,671,San Bernardino,2084529,79187,19147
673,673,San Diego,3169187,96935,19846
675,675,San Francisco,820363,19340,3556
677,677,San Joaquin,702670,25146,5717
679,679,San Luis Obispo,274491,12050,1473
681,681,San Mateo,733952,17617,3706
683,683,Santa Barbara,430836,22377,2457
685,685,Santa Clara,1826156,39935,9761
687,687,Santa Cruz,266749,12230,2022
689,689,Shasta,179423,9641,1499
691,691,Sierra,3142,159,21
693,693,Siskiyou,44920,2084,349
695,695,Solano,420333,14287,3409
697,697,Sonoma,492642,19140,2550
699,699,Stanislaus,523330,20377,4565
6101,6101,Sutter,95799,4155,964
6103,6103,Tehama,64191,3539,513
6105,6105,Trinity,13850,981,138
6107,6107,Tulare,453419,22764,4533
6109,6109,Tuolumne,55463,2565,359
6111,6111,Ventura,839484,32399,4966
6113,6113,Yolo,203928,6930,1209
6115,6115,Yuba,73251,4177,988
81,81,Adams,457228,38604,3866
83,83,Alamosa,15927,845,77
85,85,Arapahoe,637227,34306,4788
87,87,Archuleta,12179,350,47
89,89,Baca,3848,131,12
811,811,Bent,6336,69,1
813,813,Boulder,313707,16383,1474
814,814,Broomfield,58145,3448,493
815,815,Chaffee,18180,871,60
817,817,Cheyenne,1902,82,4
819,819,Clear Creek,9137,687,39
821,821,Conejos,8406,18,1
823,823,Costilla,3713,69,4
825,825,Crowley,5815,83,11
