,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE,zFAMKIDSCHANGE,zPERCENT_WITH_KIDS,zBIRTHS_PER_CAPITA,zAVG_NETMIG,zPOP_CHANGE,zINCOME_AS_PERCENT_OF_STATE,zPERCENTAGE_IN_POVERTY,zPERCENT_W_HEALTH_INSURANCE,zUNEMPLOYMENT,zBACHELORS_DEGREE,zMORTGAGE_INCOME_RATIO,zRENT_INCOME_RATIO,zHEALTHCARE_INCOME_RATIO,zDOCTORS,zEXERCISE_ACCESS,zFOOD_ENVIRONMENT_INDEX,zCIVIC_ASSOCIATIONS,zCRIME_RATE,zDAILY_POLLUTION,zWATER_VIOLATION,zCHILD_MORTALITY_RATE,zCHILDREN_UNINSURED,zDISCONNECTED_YOUTH,zHOUSING_PROBLEMS,zSCORE_TOTAL
2919,50,3,5,51,107,Virginia,"Loudoun County, Virginia",4,8272,4,30,8,5,7,10,0,12,385945,22.06190883,0.222951027,0.013227273,123453,92,2.6,46.3,58.2,2659,1668,38.3,39.6,0.033942559,190,3.2,46.42835653,74.01258993,14.92340833,5,89,10,239,85,1.943532325,3.28072509,0.526175283,2.255020714,2.9733938,3.763079004,1.839445912,0.845602203,1.060352519,2.854323295,1.430373644,1.265098604,4.634179758,-0.415537737,0.433426298,2.771206706,-0.285777984,1.186582841,-0.179742596,-0.628395541,1.311401134,0.324439673,1.402932873,1.170587959,1.582209623
268,50,4,8,8,35,Colorado,"Douglas County, Colorado",3.4,9521,9,25,8,3,7,7,0,11,328632,14.52413684,0.145143024,0.010507193,102964,95,3.1,41.7,56.6,2036,1399,37.5,34.6,-0.077333333,171.9,2.7,50.57170923,73.59828449,10.81413765,37,99,8.8,186,82,0.098392006,2.397297378,-0.712630692,1.309912142,1.620585857,2.963333736,1.724135005,1.50340127,1.378077441,2.692613498,2.163182812,1.220890583,2.461108177,-0.308524413,1.293504307,1.524377186,-0.412263716,1.200331071,1.69879464,-0.628395541,1.632558347,1.068929925,1.402932873,1.385226379,1.361137644
2564,50,3,6,47,187,Tennessee,"Williamson County, Tennessee",4,8545,8,26,11,4,9,10.2,1,12,219107,23.3109139,0.189874174,0.010209624,96565,94.6,4.2,40.5,55.7,1971,1181,35.8,34.5,-0.036312849,220.9,3.5,48.99289701,81.76545301,11.30103841,47,67,8.9,255,130,0.778580208,2.166837975,-0.848152535,2.411624735,2.398303478,5.128389987,1.470451009,1.415694728,0.869717567,2.601651737,1.883948059,2.092359623,2.718591874,-0.27508275,-1.458745322,1.628279646,-0.247593613,0.980359396,-0.304978411,1.588552704,1.568326904,0.696684799,0.950976123,1.170587959,1.295513616
740,50,2,3,18,57,Indiana,"Hamilton County, Indiana",4,9303,9,28,9,5,8,11.8,0,9,316373,14.06287091,0.144193734,0.012134411,86222,93.4,3.5,40.5,55.9,1566,1016,34.4,33.1,-0.037790698,181.8,3.2,55.0587484,84.86417323,9.268173131,57,91,8.6,287,37,0.754075001,2.166837975,0.028453166,1.252077229,1.604081037,3.400763469,1.631886279,1.152575101,1.060352519,2.621865462,2.956777681,2.423005273,1.643568565,-0.241641086,0.6054419,1.316572266,-0.171224869,1.406554516,-1.306864937,-0.628395541,1.439864019,0.324439673,1.176954498,1.81450322,1.263518172
2099,50,2,3,39,41,Ohio,"Delaware County, Ohio",3.8,9350,9,26,10,4,7,11.9,0,11,196463,12.49713759,0.121697079,0.011350738,91955,95.6,3.1,40.1,51.8,1962,953,35.1,33.1,-0.056980057,191.2,3.5,46.86799185,96.49003148,9.83468573,56,89,8.9,169,81,0.435883349,2.090018174,-0.328455011,1.055760866,1.212943205,3.81610079,1.724135005,1.634961083,0.869717567,2.207484106,1.508129224,3.663530127,1.94315273,-0.244985253,0.433426298,1.628279646,-0.452834611,1.204913814,-1.369482845,-0.628395541,1.568326904,0.696684799,1.402932873,1.385226379,1.221123879
455,50,3,5,13,117,Georgia,"Forsyth County, Georgia",3.8,10233,7,28,9,6,11,10.4,0,13,221009,29.98607014,0.250263054,0.01035252,88816,88.6,5,45.3,45.6,1774,1172,38.4,39,0.015625,191.1,4.2,50.06538895,75.78156997,8.67957423,6,81,9.2,133,69,1.639796574,3.088675588,-0.783073413,3.248575944,3.448254041,3.811682308,1.285953557,0.100096593,0.424902677,1.580858641,2.073633076,1.45385574,1.332304683,-0.412193571,-0.254636109,1.939987026,-0.538749447,1.259906733,-0.430214227,-0.628395541,1.439864019,-0.047805453,0.499019372,0.955949539,1.178984517
2895,50,3,5,51,59,Virginia,"Fairfax County, Virginia",4,7799,6,33,8,6,7,8.8,1,15,1138652,-1.007591933,0.047742524,0.012556953,112552,89.1,4,34.8,59.9,2517,1747,28.1,28.6,0.017793594,170.3,3.2,44.71672626,64.42587293,14.43133474,36,100,9.6,936,89,1.675755488,1.072155811,0.22089146,-0.637502827,-0.072866809,2.892638022,1.516575371,0.209729771,1.060352519,3.026139955,1.127648184,0.242158151,4.373960556,-0.31186858,1.379512108,2.355596866,1.377628711,1.168251868,0.571672299,1.588552704,1.118706806,-0.047805453,1.402932873,0.526672699,1.14125808
1226,50,3,5,24,27,Maryland,"Howard County, Maryland",3.8,8563,8,32,9,3,8,10.7,1,13,317233,9.616335839,0.098931667,0.011294537,110238,94,3.8,37.1,60.6,2470,1579,30.8,29.4,-0.045454545,145.4,3.2,44.63076923,69.81507283,12.87428541,17,98,9.2,276,200,0.626995606,1.513869667,-0.354050631,0.69455726,0.817132633,1.792435968,1.562699734,1.284134914,1.060352519,3.096887991,1.112445495,0.817207001,3.550559055,-0.375407741,1.207496506,1.939987026,-0.197476625,0.659567369,-0.618067951,1.588552704,1.182938249,1.068929925,1.176954498,0.955949539,1.068526
1407,50,2,4,27,139,Minnesota,"Scott County, Minnesota",3.8,8093,6,24,8,3,8,10.7,0,11,143680,6.387718709,0.100844328,0.012764477,87794,94.4,4.2,40.4,38.2,1829,1024,37,33,-0.108108108,146.4,3.3,48.00109349,85.73632813,10.84878382,39,95,9.3,103,100,-0.411905212,2.147633025,0.315404111,0.289743512,0.850387091,1.836620789,1.470451009,1.371841456,0.996807535,0.832950829,1.708533904,2.516067635,2.479429825,-0.301836081,0.949473104,2.043889486,-0.610345145,1.117841693,-0.618067951,-0.628395541,1.69678979,1.068929925,1.176954498,1.385226379,1.057079183
2873,50,3,5,51,13,Virginia,"Arlington County, Virginia",4,7469,8,42,9,5,7,10.1,1,15,230050,5.823781665,0.098358073,0.013592697,105763,90.3,6.1,20.2,72.9,2723,1827,14.4,16.3,0.131944444,157.5,2.6,38.84061697,57.88888889,14.1594662,36,100,9.2,303,146,3.568567417,-1.731766928,0.692600328,0.219035386,0.807159848,2.327072307,1.032269561,0.472849398,1.441622425,4.340032058,0.088377073,-0.455363786,4.230190568,-0.31186858,1.379512108,1.939987026,-0.133040497,0.907035504,-0.242360503,1.588552704,0.540623823,0.324439673,1.402932873,0.526672699,1.015938251
1890,50,1,2,36,59,New York,"Nassau County, New York",4,10155,6,28,10,3,9,9.6,0,23,1361500,0.417858551,0.014622034,0.010520749,99465,92.5,4.4,33.2,42.8,3069,1578,29,27.1,-0.065517241,167,3.9,32.40957967,63.03231939,9.794537747,2263,99,9.6,1043,163,0.294322566,0.764876606,-0.706456883,-0.458775549,-0.648715825,2.746828111,1.424326646,0.955235381,0.61553763,1.297866496,-1.049040722,0.093460501,1.921921605,7.135589909,1.293504307,2.355596866,1.632986697,0.829128869,0.070729036,-0.628395541,1.439864019,1.068929925,0.950976123,-1.190434662,0.992967724
950,50,2,4,20,91,Kansas,"Johnson County, Kansas",4,9732,12,36,8,4,7,10.2,1,12,584451,4.642621355,0.070783927,0.01255195,76113,92.8,4,33.7,52.8,1655,947,27,26.1,-0.033333333,154.3,3.3,45.9897281,80.37275607,7.821165329,4,99,8.2,505,142,0.827985565,0.860901358,0.218612944,0.070937946,0.327742277,2.185680879,1.516575371,1.021015287,0.996807535,2.308552729,1.352796146,1.943753376,0.878359413,-0.418881903,1.293504307,0.900962427,0.349037196,0.925366477,-0.304978411,1.588552704,0.926012478,0.696684799,1.402932873,1.170587959,0.932649958
