,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTY,SCHOOL_GRADE,HEALTHCARE_COST,PERCENT_FOOD_INSECURE,CHILD_MORTALITY_RATE,MENTAL_DISTRESS,CHILDREN_UNINSURED,DISCONNECTED_YOUTH,DAILY_POLLUTION,WATER_VIOLATION,HOUSING_PROBLEMS,POPESTIMATE2016,AVG_NETMIG,POP_CHANGE,BIRTHS_PER_CAPITA,MEDIAN_HOUSEHOLD_INCOME,PERCENT_W_HEALTH_INSURANCE,PERCENTAGE_IN_POVERTY,PERCENT_WITH_KIDS,BACHELORS_DEGREE,MEDIAN_MORTAGE_PAYMENTS,MEDIAN_RENT_PAYMENT,2010_FAM_KIDS,2015_FAM_KIDS,CHANGE_IN_FAM_WITH_KIDS,INCOME_AS_PERCENT_OF_STATE,UNEMPLOYMENT,MORTGAGE_INCOME_RATIO,RENT_INCOME_RATIO,HEALTHCARE_INCOME_RATIO,DOCTORS,EXERCISE_ACCESS,FOOD_ENVIRONMENT_INDEX,CIVIC_ASSOCIATIONS,CRIME_RATE
2919,50,3,5,51,107,Virginia,"Loudoun County, Virginia",4,8272,4,30,8,5,7,10,0,12,385945,22.06190883,0.222951027,0.013227273,123453,92,2.6,46.3,58.2,2659,1668,38.3,39.6,0.033942559,190,3.2,46.42835653,74.01258993,14.92340833,5,89,10,239,85
268,50,4,8,8,35,Colorado,"Douglas County, Colorado",3.4,9521,9,25,8,3,7,7,0,11,328632,14.52413684,0.145143024,0.010507193,102964,95,3.1,41.7,56.6,2036,1399,37.5,34.6,-0.077333333,171.9,2.7,50.57170923,73.59828449,10.81413765,37,99,8.8,186,82
2564,50,3,6,47,187,Tennessee,"Williamson County, Tennessee",4,8545,8,26,11,4,9,10.2,1,12,219107,23.3109139,0.189874174,0.010209624,96565,94.6,4.2,40.5,55.7,1971,1181,35.8,34.5,-0.036312849,220.9,3.5,48.99289701,81.76545301,11.30103841,47,67,8.9,255,130
740,50,2,3,18,57,Indiana,"Hamilton County, Indiana",4,9303,9,28,9,5,8,11.8,0,9,316373,14.06287091,0.144193734,0.012134411,86222,93.4,3.5,40.5,55.9,1566,1016,34.4,33.1,-0.037790698,181.8,3.2,55.0587484,84.86417323,9.268173131,57,91,8.6,287,37
2099,50,2,3,39,41,Ohio,"Delaware County, Ohio",3.8,9350,9,26,10,4,7,11.9,0,11,196463,12.49713759,0.121697079,0.011350738,91955,95.6,3.1,40.1,51.8,1962,953,35.1,33.1,-0.056980057,191.2,3.5,46.86799185,96.49003148,9.83468573,56,89,8.9,169,81
455,50,3,5,13,117,Georgia,"Forsyth County, Georgia",3.8,10233,7,28,9,6,11,10.4,0,13,221009,29.98607014,0.250263054,0.01035252,88816,88.6,5,45.3,45.6,1774,1172,38.4,39,0.015625,191.1,4.2,50.06538895,75.78156997,8.67957423,6,81,9.2,133,69
2895,50,3,5,51,59,Virginia,"Fairfax County, Virginia",4,7799,6,33,8,6,7,8.8,1,15,1138652,-1.007591933,0.047742524,0.012556953,112552,89.1,4,34.8,59.9,2517,1747,28.1,28.6,0.017793594,170.3,3.2,44.71672626,64.42587293,14.43133474,36,100,9.6,936,89
1226,50,3,5,24,27,Maryland,"Howard County, Maryland",3.8,8563,8,32,9,3,8,10.7,1,13,317233,9.616335839,0.098931667,0.011294537,110238,94,3.8,37.1,60.6,2470,1579,30.8,29.4,-0.045454545,145.4,3.2,44.63076923,69.81507283,12.87428541,17,98,9.2,276,200
1407,50,2,4,27,139,Minnesota,"Scott County, Minnesota",3.8,8093,6,24,8,3,8,10.7,0,11,143680,6.387718709,0.100844328,0.012764477,87794,94.4,4.2,40.4,38.2,1829,1024,37,33,-0.108108108,146.4,3.3,48.00109349,85.73632813,10.84878382,39,95,9.3,103,100
2873,50,3,5,51,13,Virginia,"Arlington County, Virginia",4,7469,8,42,9,5,7,10.1,1,15,230050,5.823781665,0.098358073,0.013592697,105763,90.3,6.1,20.2,72.9,2723,1827,14.4,16.3,0.131944444,157.5,2.6,38.84061697,57.88888889,14.1594662,36,100,9.2,303,146
1890,50,1,2,36,59,New York,"Nassau County, New York",4,10155,6,28,10,3,9,9.6,0,23,1361500,0.417858551,0.014622034,0.010520749,99465,92.5,4.4,33.2,42.8,3069,1578,29,27.1,-0.065517241,167,3.9,32.40957967,63.03231939,9.794537747,2263,99,9.6,1043,163
950,50,2,4,20,91,Kansas,"Johnson County, Kansas",4,9732,12,36,8,4,7,10.2,1,12,584451,4.642621355,0.070783927,0.01255195,76113,92.8,4,33.7,52.8,1655,947,27,26.1,-0.033333333,154.3,3.3,45.9897281,80.37275607,7.821165329,4,99,8.2,505,142
1228,50,3,5,24,31,Maryland,"Montgomery County, Maryland",4,8492,7,38,9,3,8,10.9,1,17,1043863,4.199068686,0.069180116,0.01254954,99435,89.7,4.6,33.6,57.9,2440,1627,26.1,25.5,-0.022988506,129.7,3.3,40.75204918,61.11555009,11.70909031,474,100,9.4,907,177
1758,50,2,4,31,153,Nebraska,"Sarpy County, Nebraska",3.8,8822,11,39,8,4,6,10.7,0,10,179023,8.696127312,0.120567598,0.014528859,70543,93.4,4.8,37.9,36.7,1474,868,30.2,28.4,-0.059602649,134.1,3,47.85820896,81.27073733,7.99618684,9,95,8.1,123,64
2609,50,3,7,48,85,Texas,"Collin County, Texas",4,11176,16,31,9,8,9,10.8,0,14,939585,20.54700675,0.191246556,0.01175519,84735,87.1,5.7,40.3,49.8,1884,1119,33.2,32.1,-0.03313253,156,3.5,44.97611465,75.72386059,7.581770109,1,95,7.4,553,154
1247,50,1,1,25,17,Massachusetts,"Middlesex County, Massachusetts",4,9121,9,29,10,1,7,9.6,0,17,1589774,5.084997125,0.054777261,0.011065724,85118,96.7,5.6,29.4,52,2377,1341,23.6,23.3,-0.012711864,127.4,3,35.80900294,63.47352722,9.332193095,6,97,8.8,1478,207
2939,50,3,5,51,153,Virginia,"Prince William County, Virginia",3.6,8387,7,39,9,7,11,9.7,1,15,455210,7.43929624,0.12014469,0.014922783,98657,87.2,4.9,42.3,38.8,2215,1547,32.7,32.8,0.003058104,149.7,3.6,44.54040632,63.77310924,11.76241255,16,91,9.2,271,163
1419,50,2,4,27,163,Minnesota,"Washington County, Minnesota",4,7802,7,31,8,3,8,10.9,0,12,253117,3.703733066,0.059102397,0.01112529,83706,95.4,4,35.5,41.6,1730,1144,28.8,26.6,-0.076388889,139.2,3.4,48.3849711,73.16958042,10.72871873,4,95,8.9,200,77
1249,50,1,1,25,21,Massachusetts,"Norfolk County, Massachusetts",4,9519,9,28,10,1,7,9.5,0,16,697181,3.896914738,0.035767026,0.010439183,88262,97.8,4.3,29.8,50.6,2360,1332,25.2,24.1,-0.043650794,131.9,3.2,37.39915254,66.26276276,9.272591844,321,96,8.8,682,193
1392,50,2,4,27,109,Minnesota,"Olmsted County, Minnesota",3.8,6668,9,33,8,3,8,10.2,1,11,153102,1.292965885,0.059331474,0.014265,68023,94.2,5.3,31.5,41.3,1415,827,25.2,23,-0.087301587,110.4,3,48.07279152,82.25272068,10.20202172,29,96,8.7,185,163
2827,50,4,8,49,11,Utah,"Davis County, Utah",3.4,8638,12,40,10,7,11,8.7,0,11,342281,4.431776649,0.111381332,0.017123358,71112,91.4,6.2,43.9,34.8,1482,913,38.6,36,-0.067357513,114.8,3.1,47.98380567,77.88828039,8.232242022,8,95,8,79,106
2645,50,3,7,48,157,Texas,"Fort Bend County, Texas",4,10706,15,33,9,9,12,11.4,0,15,741237,28.152993,0.255412553,0.013315579,89152,85.1,6.5,43.2,43.7,1843,1211,36.7,34.3,-0.065395095,170.9,5,48.3733044,73.61849711,8.327378667,4,94,7,325,262
233,50,4,9,6,85,California,"Santa Clara County, California",3.8,7797,11,28,9,4,11,8.8,0,24,1919402,4.693052913,0.074310003,0.012417409,96310,90.9,6.4,35.1,47.9,2943,1705,27.9,28.2,0.010752688,158.5,3.8,32.72511043,56.48680352,12.35245606,269,98,8.5,1052,254
2952,50,3,5,51,179,Virginia,"Stafford County, Virginia",3.8,9747,8,42,9,5,12,9,1,12,144361,9.757665231,0.111794832,0.012025409,97144,91.6,3.6,42,36.8,2101,1445,34.2,32.1,-0.061403509,144.4,3.9,46.23702999,67.22768166,9.966073248,1,81,9,87,152
2015,50,3,5,37,183,North Carolina,"Wake County, North Carolina",4,8671,14,42,10,5,9,9.8,0,15,1046791,15.65414726,0.154189486,0.012308092,67309,88.4,7.9,35,49,1533,948,26.1,25.6,-0.019157088,147.5,4.2,43.90671885,71.00105485,7.762685046,2,91,7.6,979,245
1423,50,2,4,27,171,Minnesota,"Wright County, Minnesota",3.8,8288,7,37,8,3,8,10.6,1,11,132550,0.970220709,0.059281399,0.013157299,73557,94.5,4.2,39.1,27.3,1570,899,31.3,29.7,-0.051118211,120.4,3.9,46.85159236,81.82091212,8.87461739,7,81,9.2,130,64
1818,50,1,2,34,27,New Jersey,"Morris County, New Jersey",4,9586,7,24,9,4,7,9.3,0,17,498423,0.310132185,0.011260507,0.009172931,100214,92.5,3,32.7,51,2792,1357,29.9,27.4,-0.08361204,140.7,3.9,35.89326648,73.84966839,10.45422586,274,96,9.2,507,65
2812,50,3,7,48,491,Texas,"Williamson County, Texas",4,9978,15,34,9,9,11,9.8,0,13,528718,26.65771347,0.239914168,0.012518961,73750,87.5,5.4,37.6,39.3,1622,1072,31.5,28.8,-0.085714286,141.1,3.3,45.46855734,68.79664179,7.391431151,18,94,7.2,305,147
2962,50,3,5,51,510,Virginia,"Alexandria city, Virginia",3.8,8329,11,63,10,7,10,10,,15,155810,3.325178209,0.106023823,0.018124639,89134,85.7,6.2,21.3,61.4,2522,1555,12.4,14.7,0.185483871,134.6,2.9,35.34258525,57.32090032,10.70152922,7,100,8.7,349,176
3017,50,4,9,53,33,Washington,"King County, Washington",3.8,7678,13,36,9,4,11,8.8,0,19,2149970,11.29028338,0.109498159,0.012049005,75302,90.3,7,27.2,47.9,2196,1204,20.7,20.5,-0.009661836,127.7,3.9,34.29052823,62.54318937,9.806965496,168,98,7.9,1924,332
3163,50,2,3,55,131,Wisconsin,"Washington County, Wisconsin",3.8,8437,9,25,9,3,7,10.1,0,12,134296,0.582071354,0.01742477,0.00995562,69237,95.3,3.6,30.4,28.9,1605,829,25,23.5,-0.06,127.2,3.5,43.13831776,83.51869723,8.206216799,551,85,8.9,140,78
